Garlicky Kale Salad,,,
2,,,
number,unit,ingredient,notes
1,bunch,kale,"washed, destemmed"
2,tbs,tahini,
2,tbs,apple cider vinegar,
2,tbs,lemon juice,
2,tbs,liquid amino,
4,tbs,nutritional yeast,
2,tsp,garlic,
