Nutter,,,
42.77,,,
number,unit,ingredient,notes
64,gram,flax,
340,gram,water,
390,gram,oat,
320,gram,almond flour,
18,gram,cinnamon,
14,gram,sea salt,
12,gram,baking soda,
100,gram,shredded coconut,
160,gram,pumpkin seed,
130,gram,pecan,chopped
200,gram,mini chocolate chip,
290,gram,applesauce,
270,gram,almond butter,
400,gram,maple syrup,
28,gram,vanilla,
