Buffalo Bowl,,,
1,,,
number,unit,ingredient,notes
40,gram,carrot,circles
40,gram,cabbage,food processed
70,gram,grape tomato,
40,gram,celery,diced
150,gram,quinoa,
300,gram,buffalo cauliflower,
1,4oz,ranch,
