Collard Wrap,,,
1,,,
number,unit,ingredient,notes
15,gram,carrot,matchsticked
20,gram,cucumber,matchsticked
15,gram,bean sprout,
,,mint,
,,thai basil,
35,gram,sriracha tofu,7 blocks made 2855g
10,gram,cabbage,food processed
40,gram,jasmine rice,
0.5,piece,collard green tortilla,
1,4oz,peanut sauce,
