Chimi Bowl Sauce,,,
2,,,
number,unit,ingredient,notes
3,tbsp,almond,"toasted, skin on"
1.5,cup,parsley,fresh
0.33,cup,cilantro,fresh
2,tbsp,oregano,fresh
4,clove,garlic,"medium, peeled"
0.5,tsp,salt,
0.5,tsp,red chili flake,
0.5,cup,olive oil,
0.5,cup,red wine vinegar,
