Chicken Shawarma,,,
3,,,
number,unit,ingredient,notes
1.5,piece,red onion,thinly sliced
0.75,cup,vinegar,white
1.5,tbsp,salt,
1.5,tbsp,sugar,
1,cup,water,
,,,
1.5,cup,soy curl,
1.5,tsp,water from soy curls,
3,tsp,bouillon paste,
1.5,tsp,apple cider vinegar,
1.5,tsp,salt,
1.5,tsp,garlic powder,
1.5,tsp,onion powder,
1.5,tsp,cumin,
1.5,tsp,oregano,
0.75,tsp,turmeric,
0.75,tsp,pepper,
1.5,tbsp,vegetable oil,
