Quick Pickled Onions,,,
6,,,
number,unit,ingredient,notes
6,whole,onion,very thinly sliced
3,cup,water,
1.5,cup,white vinegar,
1.5,cup,apple cider vinegar,
9,tbs,maple syrup,
9,tsp,salt,
1.5,tsp,red pepper flakes,
