Tabbouleh Mix,,,
3,,,
number,unit,ingredient,notes
2,cup,quinoa,
3,tbsp,lemon juice,
0.25,cup,red onion,finely chopped
2,tsp,cumin,
1.25,tsp,salt,
0.5,cup,olive oil,
1,bunch,kale,finely chopped
2,piece,tomato,
0.5,cup,mint leaf,torn
0.5,piece,cucumber,
,,pepper,
