Mac & Cheeze Peas
40.0,16oz containers
ingredient,number,notes
pasta,3423.3 gram,
cashew,1132.1 gram,soaked
potato,2641.5 gram,"peeled, chopped"
carrot,566.0 gram,chopped
onion,641.5 gram,chopped
water from boiled vegetables,2.0 liter 2.75 cup 1.9 tablespoon,
nutritional yeast,113.2 gram,
lemon juice,229.9 gram,
salt,3.8 tablespoon,
garlic powder,10.1 gram,
cayenne,5.0 gram,
paprika,4.4 gram,
peas,1.0 liter 3.25 cup 1.1 tablespoon,

