Chimi Bowl Sauce
25.0,
ingredient,number,notes
almond,2.25 cup 1.5 tablespoon,"toasted, skin on"
parsley,4.0 liter 1.75 cup 1.5 tablespoon,fresh
cilantro,165.0 gram,fresh
oregano,75.0 gram,fresh
garlic,50.0 clove,"medium, peeled"
salt,2.1 tablespoon,
red chili flake,2.1 tablespoon,
olive oil,1360.4 gram,
red wine vinegar,1.0 liter 2.0 cup 1.1 teaspoon,

