Creamy Cashew Butternut Squash Soup
30.0,
ingredient,number,notes
,12.9,
onion,1221.4,finely chopped
raw cashew,642.9,
garlic,4.3,finely chopped
butternut squash,8.6,peeled and cut into .5 inch dice
vegetable broth,21.4,
ginger,8.6,minced
cumin,8.6,
coriander,8.6,
curry powder,4.3,
tumeric ,4.3,
coconut milk,4.3,
rosemary,4.3,
