Roma Stew,,,
25,,,
number,unit,ingredient,notes
6,piece,onion,chopped
3,cup,carrot,chopped
3,cup,parsnips,chopped
6,cup,celery,chopped
,,,
12,cup,mushroom,chopped
12,cup,red potato,"chopped, skin on"
,,,
3,tsp,dried thyme,
3,tsp,dried rosemary,
3,tsp,dried marjoram,
,,,
1.5,cup,brown rice flour,
,,,
21,cup,vegetable broth,
1.5,cup,red wine,
3,ounce,dried mushroom,ground
3,cup,split red lentil,
1.5,cup,liquid amino,
