Cold Spicy Peanut Sesame Noodles,,,
8,,,
number,unit,ingredient,notes
8,package,spaghetti,12-16 oz packages
5.3,cup,water,
2.66,cup,peanut butter,
2,cup,tamari,
2,cup,rice vinegar,
1.5,cup,coconut sugar,
1,cup,grapeseed oil,
1,cup,toasted sesame seed,
8,tsp,chili garlic sauce,up to 12 tsp
8,tsp,sesame oil,
8,inches,ginger,
8,clove,garlic,
,,green onion,garnish
,,sesame seed,
