Creamy Potato & Kale Soup,,,
8.75,,,
number,unit,ingredient,notes
400,gram,onion,diced
200,gram,celery,diced
,,,
7,clove,garlic,
1,tsp,salt,
0.5,tsp,pepper,
1,tsp,thyme,
0.5,tsp,dried marjoram,
0.5,tsp,dried rosemary,
,,,
1600,gram,potato,"peeled, diced"
6,cup,vegetable broth,
2,tbsp,dried parsley,
1,cup,nutritional yeast,
100,gram,kale,confetti sliced
140,gram,raw cashew,soaked
1,cup,coconut milk,from a box
0.5,tsp,red pepper flake,
