Mexican Stuffed Sweets
18.0,
ingredient,number,notes
sweet potato,18.0 piece,
chopped onion,3.0 cup,
chopped bell pepper,3.0 cup,red
frozen corn,1.0 liter 1.75 cup 1.1 teaspoon,
quinoa,1920.0 gram,
black bean,8.4 can,
chili powder,55.0 gram,
cumin,28.9 gram,
smoked paprika,16.2 gram,
salt,2.0 tablespoon,
salsa,1.0 cup 3.2 tablespoon,

