Spicy Mayo
31.0,4oz container
ingredient,number,notes
cashew,1359.6 gram,
water,1309.7 gram,
lime juice,1.0 cup 1.7 tablespoon,
salt,3.0 tablespoon,
maple syrup,236.8 gram,
tamari,186.7 gram,
sriracha,414.1 gram,
miso paste,0.25 cup 2.6 tablespoon,

