Pecan Cardamom Cookie
200.0,
ingredient,number,notes
almond flour,1898.3 gram,
baking soda,40.7 gram,
coconut sugar,284.7 gram,
cardamom,61.0 gram,
salt,35.9 gram,
maple syrup,1898.3 gram,
almond butter,1898.3 gram,
vanilla extract,94.9 gram,
chopped pecan,830.5 gram,

