Peppermint Brownie
32.0,
ingredient,number,notes
almond butter,2048.0 gram,
maple syrup,1920.0 gram,
vanilla extract,39.8 gram,
flax,224.0 gram,
corn starch,256.0 gram,
cocoa powder,384.0 gram,
baking powder,76.8 gram,
salt,4.0 teaspoon,
chocolate chip,1440.0 gram,

