Fiesta Burger
23.0,
ingredient,number,notes
zucchini,3.75 cup 3.1 tablespoon,grated
walnut,236.6 gram,
black bean,6.6 can,
ground flax,3.9 tablespoon,
tamari,63.0 gram,
tomato paste,130.1 gram,
liquid smoke,4.4 gram,
miso,82.8 gram,
panko,1.75 cup 3.5 tablespoon,
onion powder,18.7 gram,
garlic powder,15.8 gram,
onion flake,0.25 cup 3.9 tablespoon,
red pepper flake,2.3 gram,
ground mustard,1.0 teaspoon,
coriander,1.6 gram,
smoked paprika,2.6 gram,
black pepper,1.0 teaspoon,
salt,0.7 teaspoon,
