Chocolate Espresso Truffle Frosting
45.0,
ingredient,number,notes
semi sweet chocolate chip,1218.0 gram,
coconut milk,450.0 gram,lite
vanilla extract,7.5 gram,
instant espresso,3.0 gram,
canned pumpkin,150.0 gram,
salt,0.4 teaspoon,fine
