Tzaziki
18.0,4oz containers
ingredient,number,notes
cashew,121.3 gram,
yogurt,993.7 gram,
garlic,6.4 clove,
salt,3.6 teaspoon,
cucumber,358.5 gram,
dill,3.1 tablespoon,chopped
