Falafel Bowl
18.0,
ingredient,number,notes
cucumber,1.0 liter 1.5 cup 3.4 tablespoon,
red cabbage,1.0 liter 1.5 cup 3.4 tablespoon,
cherry tomato,180.0 piece,
olive,1.0 liter 0.25 cup 1.1 teaspoon,
falafel,90.0 piece,
hummus,1.0 liter 0.25 cup 1.1 teaspoon,
tzatziki,18.0 piece,4oz container
tofu feta cheese,1.0 liter 1.5 cup 3.4 tablespoon,
lettuce,4.0 liter 1.0 cup 1.5 tablespoon,
