Peanut Sauce
29.0,4oz containers
ingredient,number,notes
peanut butter,1099.8 gram,
tamari,544.8 gram,
apple cider vinegar,492.4 gram,
maple syrup,414.7 gram,
ginger,17.1 gram,
garlic,17.1 clove,
red pepper flake,6.0 gram,
water,298.7 gram,
