Tofu Feta Cheese
18.0,
ingredient,number,notes
tofu,986.3 gram,drained
miso,103.6 gram,
lemon,2.5 piece,juiced
apple cider vinegar,177.9 gram,
olive oil,33.5 gram,
water,109.4 gram,
nutritional yeast,18.5 gram,
oregano,7.4 gram,
garlic powder,3.3 gram,
salt,1.2 teaspoon,
pepper,,
red pepper flake,,
