Quick Pickled Onions
40,
ingredient,number,notes
onion,40.0 whole,very thinly sliced
water,4731.8 gram,
white vinegar,2271.2 gram,
apple cider vinegar,2886.4 gram,
maple syrup,1215.5 gram,
salt,1.0 cup 4.0 tablespoon,
red pepper flakes,23.3 gram,

