Big Matt Salad
40.0,
ingredient,number,notes
cashew,1535.0 gram,raw
tomato paste,660.0 gram,
maple syrup,810.3 gram,
vinegar,2.5 cup,white
apple cider vinegar,1443.2 gram,
vegetable broth,480.0 gram,
liquid amino,680.0 gram,
tahini,1120.0 gram,
water,3548.8 gram,
garlic powder,106.7 gram,
onion powder,63.3 gram,
paprika,46.7 gram,not smoked
salt,0.25 cup 2.7 tablespoon,
ground mustard,0.25 cup 2.7 tablespoon,
,,
lentil,40.0 can,
vegetable broth,960.0 gram,
water,591.5 gram,
tomato paste,220.0 gram,
liquid amino,113.3 gram,
nutritional yeast,150.0 gram,
garlic powder,53.3 gram,
onion powder,63.3 gram,
ground mustard,3.3 tablespoon,
salt,3.3 tablespoon,
pepper,11.7 gram,

