Tzaziki
40,4oz containers
ingredient,number,notes
cashew,452.8 gram,
yogurt,2855.8 gram,
garlic,23.8 clove,
salt,0.25 cup 1.3 teaspoon,
cucumber,1338.2 gram,
dill,0.5 cup 3.7 tablespoon,chopped

