Tabbouleh Mix
40,
ingredient,number,notes
quinoa,5333.3 gram,
lemon juice,609.2 gram,
red onion,3.25 cup 1.3 tablespoon,finely chopped
cumin,66.7 gram,
salt,0.25 cup 1.6 tablespoon,
olive oil,1451.1 gram,
kale,13.3 bunch,finely chopped
tomato,26.7 piece,
mint leaf,1.0 liter 2.25 cup 3.0 tablespoon,torn
cucumber,6.7 piece,
pepper,,

