Chipotle Aioli
40.0,
ingredient,number,notes
cashew,767.5 gram,
soy milk,693.3 gram,
lemon juice,203.1 gram,
salt,1.7 teaspoon,
maple syrup,45.0 gram,
chipotle pepper,13.3 piece,
adobo sauce,2.2 tablespoon,
smoked paprika,3.3 gram,
