Nutter
40.0,
ingredient,number,notes
flax,59.9 gram,
water,318.0 gram,
oat,364.7 gram,
almond flour,299.3 gram,
cinnamon,16.8 gram,
sea salt,13.1 gram,
baking soda,11.2 gram,
shredded coconut,93.5 gram,
pumpkin seed,149.6 gram,
pecan,121.6 gram,chopped
mini chocolate chip,187.0 gram,
applesauce,271.2 gram,
almond butter,252.5 gram,
maple syrup,374.1 gram,
vanilla,26.2 gram,
