Peanut Sauce
40.0,4oz container
ingredient,number,notes
peanut butter,1516.9 gram,
liquid amino,800.0 gram,
apple cider vinegar,679.1 gram,
maple syrup,572.0 gram,
ginger,23.6 gram,
garlic,23.5 clove,
red pepper flake,8.2 gram,
water,417.5 gram,
