Peanut Butter Cookies
40.0,
ingredient,number,notes
almond flour,444.4 gram,
baking soda,6.7 gram,
coconut sugar,66.7 gram,
salt,1.4 teaspoon,
maple syrup,444.4 gram,
peanut butter,444.4 gram,
vanilla extract,22.2 gram,
