Burrito Bowl
40.0,
ingredient,number,notes
mexican quinoa,6000.0 gram,
chorizo,1800.0 gram,
pickled corn,2000.0 gram,
cabbage ,1600.0 gram,food processed
mexican instant pot black bean,6000.0 gram,
tomato-onion mix,4000.0 gram,
chipotle aioli sauce,2268.0 gram,
cilantro crema,40.0 20z,
