Karma Bowl
26.0,
ingredient,number,notes
tzazika,26.0 piece,
green tahini,26.0 piece,
chicken shawarma,26.0 piece,
Tabbouleh mix,26.0 piece,
cauliflower,8.7 piece,
chickpea,8.7 can,
sweet potato,17.3 piece,
cabbage,2.2 piece,shredded
