Mexican Stuffed Sweets
17.0,
ingredient,number,notes
sweet potato,17.0 piece,
chopped onion,2.75 cup 1.3 tablespoon,
chopped bell pepper,2.75 cup 1.3 tablespoon,red
frozen corn,1.0 liter 1.25 cup 3.0 tablespoon,
quinoa,1813.3 gram,
black bean,7.9 can,
chili powder,0.25 cup 1.7 tablespoon,
cumin,27.3 gram,
smoked paprika,15.3 gram,
salt,5.7 teaspoon,
salsa,1.0 cup 2.1 tablespoon,
