Tzaziki
26.0,4oz containers
ingredient,number,notes
cashew,294.3 gram,
yogurt,1856.2 gram,
garlic,15.4 clove,
salt,2.9 tablespoon,
cucumber,869.9 gram,
dill,0.25 cup 3.6 tablespoon,chopped
