Vegan Snickerdoodles
87.0,
ingredient,number,notes
flax seed,97.9 gram,flax egg
water,402.0 gram,flax egg
flour,1305.0 gram,
almond flour,652.5 gram,
coconut sugar,543.8 gram,
cream of tarter,2.7 tablespoon,
baking soda,26.1 gram,
cinnamon,12.7 gram,
coconut oil,435.0 gram,
maple syrup,330.5 gram,
vanilla extract,54.1 gram,
,,
coconut sugar,2.0 cup 1.9 teaspoon,
cinnamon,50.8 gram,
