Tabbouleh Mix
26.0,
ingredient,number,notes
quinoa,3466.7 gram,
lemon juice,396.0 gram,
red onion,2.0 cup 2.7 tablespoon,finely chopped
cumin,43.3 gram,
salt,3.6 tablespoon,
olive oil,943.2 gram,
kale,8.7 bunch,finely chopped
tomato,17.3 piece,
mint leaf,1.0 liter 1.7 tablespoon,torn
cucumber,4.3 piece,
pepper,,
