Green Tahini Sauce
26.0,2oz container
ingredient,number,notes
cilantro,130.0 gram,
parsley,3.25 cup,
tahini,364.0 gram,
lemon juice,198.0 gram,
garlic,3.3 teaspoon,minced
cumin,4.1 gram,
salt,1.6 teaspoon,
pepper,3.8 gram,
